time,open,high,low,close,volume
2025-01-01T00:00:00+00:00,100.0000,100.4500,99.6500,100.1000,1000
2025-01-01T01:00:00+00:00,100.1000,100.5900,99.7500,100.2400,1001
2025-01-01T02:00:00+00:00,100.2400,100.7700,99.8900,100.4200,1002
2025-01-01T03:00:00+00:00,100.4200,100.9900,100.0700,100.6400,1003
2025-01-01T04:00:00+00:00,100.6400,101.2500,100.2900,100.9000,1004
2025-01-01T05:00:00+00:00,100.9000,101.5500,100.5500,101.2000,1005
2025-01-01T06:00:00+00:00,101.2000,101.8900,100.8500,101.5400,1006
2025-01-01T07:00:00+00:00,101.5400,101.9900,101.1900,101.6400,1007
2025-01-01T08:00:00+00:00,101.6400,102.1300,101.2900,101.7800,1008
2025-01-01T09:00:00+00:00,101.7800,102.3100,101.4300,101.9600,1009
2025-01-01T10:00:00+00:00,101.9600,102.5300,101.6100,102.1800,1010
2025-01-01T11:00:00+00:00,102.1800,102.7900,101.8300,102.4400,1011
2025-01-01T12:00:00+00:00,102.4400,103.0900,102.0900,102.7400,1012
2025-01-01T13:00:00+00:00,102.7400,103.4300,102.3900,103.0800,1013
2025-01-01T14:00:00+00:00,103.0800,103.5300,102.7300,103.1800,1014
2025-01-01T15:00:00+00:00,103.1800,103.6700,102.8300,103.3200,1015
2025-01-01T16:00:00+00:00,103.3200,103.8500,102.9700,103.5000,1016
2025-01-01T17:00:00+00:00,103.5000,104.0700,103.1500,103.7200,1017
2025-01-01T18:00:00+00:00,103.7200,104.3300,103.3700,103.9800,1018
2025-01-01T19:00:00+00:00,103.9800,104.6300,103.6300,104.2800,1019
2025-01-01T20:00:00+00:00,104.2800,104.9700,103.9300,104.6200,1020
2025-01-01T21:00:00+00:00,104.6200,105.0700,104.2700,104.7200,1021
2025-01-01T22:00:00+00:00,104.7200,105.2100,104.3700,104.8600,1022
2025-01-01T23:00:00+00:00,104.8600,105.3900,104.5100,105.0400,1023
2025-01-02T00:00:00+00:00,105.0400,105.6100,104.6900,105.2600,1024
2025-01-02T01:00:00+00:00,105.2600,105.8700,104.9100,105.5200,1025
2025-01-02T02:00:00+00:00,105.5200,106.1700,105.1700,105.8200,1026
2025-01-02T03:00:00+00:00,105.8200,106.5100,105.4700,106.1600,1027
2025-01-02T04:00:00+00:00,106.1600,106.6100,105.8100,106.2600,1028
2025-01-02T05:00:00+00:00,106.2600,106.7500,105.9100,106.4000,1029
2025-01-02T06:00:00+00:00,106.4000,106.7500,105.8300,106.1800,1030
2025-01-02T07:00:00+00:00,106.1800,106.5300,105.6500,106.0000,1031
2025-01-02T08:00:00+00:00,106.0000,106.3500,105.5100,105.8600,1032
2025-01-02T09:00:00+00:00,105.8600,106.2100,105.4100,105.7600,1033
